TIMESTAMP,FORECAST
20180208 02:00,0,734705908
20180208 03:00,0,750416784
20180208 04:00,0,751403072
20180208 05:00,0,774460135
20180208 06:00,0,74674451
20180208 07:00,0,720266981
20180208 08:00,0,730544767
20180208 09:00,0,702515496
20180208 10:00,0,693950783
20180208 11:00,0,737491163
20180208 12:00,0,749900357
20180208 13:00,0,761742886
20180208 14:00,0,784442752
20180208 15:00,0,796766375
20180208 16:00,0,769994674
20180208 17:00,0,791637427
20180208 18:00,0,800634311
20180208 19:00,0,793215006
20180208 20:00,0,784316509
20180208 21:00,0,75237081
20180208 22:00,0,774618879
20180208 23:00,0,800352604
20180209 00:00,0,772979451
20180209 01:00,0,815590099
20180209 02:00,0,836841648
20180209 03:00,0,830573569
20180209 04:00,0,854901363
20180209 05:00,0,835294948
20180209 06:00,0,83251314
20180209 07:00,0,798252898
20180209 08:00,0,789432412
20180209 09:00,0,799364718
20180209 10:00,0,79716747
20180209 11:00,0,796289742
20180209 12:00,0,7616644
20180209 13:00,0,752990213
20180209 14:00,0,753132939
20180209 15:00,0,754579396
20180209 16:00,0,749301793
20180209 17:00,0,726423725
20180209 18:00,0,711295457
20180209 19:00,0,703612646
20180209 20:00,0,671598508
20180209 21:00,0,630234884
20180209 22:00,0,580603063
20180209 23:00,0,480733389
20180210 00:00,0,42799382
20180210 01:00,0,582590671
20180210 02:00,0,566014222
20180210 03:00,0,580209182
20180210 04:00,0,58579312
20180210 05:00,0,664238405
20180210 06:00,0,694225365
20180210 07:00,0,697516132
20180210 08:00,0,675535395
20180210 09:00,0,687506474
20180210 10:00,0,686386332
20180210 11:00,0,675281535
20180210 12:00,0,661707299
20180210 13:00,0,709692291
20180210 14:00,0,631516413
20180210 15:00,0,645349641
20180210 16:00,0,686840335
20180210 17:00,0,69940984
20180210 18:00,0,696211727
20180210 19:00,0,769083714
20180210 20:00,0,771518892
20180210 21:00,0,753301352
20180210 22:00,0,803201527
20180210 23:00,0,887582131
20180211 00:00,0,901736795
20180211 01:00,0,935740301
20180211 02:00,0,913014436
20180211 03:00,0,926637291
20180211 04:00,0,94059099
20180211 05:00,0,956473134
20180211 06:00,0,958662099
20180211 07:00,0,964250527
20180211 08:00,0,941384244
20180211 09:00,0,934977427
20180211 10:00,0,953818423
20180211 11:00,0,944429352
20180211 12:00,0,986024493
20180211 13:00,1
20180211 14:00,0,984605618
20180211 15:00,1
20180211 16:00,1
20180211 17:00,1
20180211 18:00,1
20180211 19:00,0,999166781
20180211 20:00,1
20180211 21:00,1
20180211 22:00,0,994324409
20180211 23:00,1
20180212 00:00,0,994163306
20180212 01:00,0,925332554
20180212 02:00,0,976608781
20180212 03:00,0,955084684
20180212 04:00,0,92905017
20180212 05:00,0,915231727
20180212 06:00,0,93639157
20180212 07:00,0,96275969
20180212 08:00,0,947716168
20180212 09:00,0,922387712
20180212 10:00,0,915949628
20180212 11:00,0,889908776
20180212 12:00,0,905018064
20180212 13:00,0,864749502
20180212 14:00,0,81537638
20180212 15:00,0,796954718
20180212 16:00,0,777389643
20180212 17:00,0,688555715
20180212 18:00,0,584879997
20180212 19:00,0,480761811
20180212 20:00,0,652663253
20180212 21:00,0,560634553
20180212 22:00,0,654979182
20180212 23:00,0,603726222
20180213 00:00,0,496480799
20180213 01:00,0,582746349
20180213 02:00,0,41023338
20180213 03:00,0,466017041
20180213 04:00,0,483927839
20180213 05:00,0,437581225
20180213 06:00,0,454061703
20180213 07:00,0,424868853
20180213 08:00,0,511302523
20180213 09:00,0,615121464
20180213 10:00,0,622446759
20180213 11:00,0,657257508
20180213 12:00,0,714975937
20180213 13:00,0,64033963
20180213 14:00,0,597631164
20180213 15:00,0,610273894
20180213 16:00,0,512615033
20180213 17:00,0,465125932
20180213 18:00,0,526422303
20180213 19:00,0,52876169
20180213 20:00,0,532377037
20180213 21:00,0,588318303
20180213 22:00,0,568133512
20180213 23:00,0,532413664
20180214 00:00,0,528825908
20180214 01:00,0,57926586
20180214 02:00,0,529068232
20180214 03:00,0,599778327
20180214 04:00,0,567960374
20180214 05:00,0,573324627
20180214 06:00,0,644648954
20180214 07:00,0,63743914
20180214 08:00,0,647589046
20180214 09:00,0,737679846
20180214 10:00,0,746252832
20180214 11:00,0,744188289
20180214 12:00,0,781632975
20180214 13:00,0,790178175
20180214 14:00,0,825258749
20180214 15:00,0,827106275
20180214 16:00,0,814458998
20180214 17:00,0,813774089
20180214 18:00,0,857546935
20180214 19:00,0,899399514
20180214 20:00,0,898229443
20180214 21:00,0,921413054
20180214 22:00,0,921547795
20180214 23:00,0,916755693
20180215 00:00,0,932131018
20180215 01:00,0,951003833
20180215 02:00,0,963824442
20180215 03:00,0,963494184
20180215 04:00,0,953095925
20180215 05:00,0,967730951
20180215 06:00,0,964659025
20180215 07:00,0,966210986
20180215 08:00,0,957670858
20180215 09:00,0,960187846
20180215 10:00,0,938089267
20180215 11:00,0,968023102
20180215 12:00,0,949354835
20180215 13:00,0,930706524
20180215 14:00,0,907535839
20180215 15:00,0,886309145
20180215 16:00,0,826144445
20180215 17:00,0,435835839
20180215 18:00,0,646849752
20180215 19:00,0,708584191
20180215 20:00,0,642599247
20180215 21:00,0,662245714
20180215 22:00,0,580156289
20180215 23:00,0,616459942
20180216 00:00,0,629677167
20180216 01:00,0,508404883
20180216 02:00,0,563673041
20180216 03:00,0,579807116
20180216 04:00,0,595093657
20180216 05:00,0,644356166
20180216 06:00,0,631116067
20180216 07:00,0,606962707
20180216 08:00,0,762553436
20180216 09:00,0,784762901
20180216 10:00,0,749939252
20180216 11:00,0,75384208
20180216 12:00,0,701345129
20180216 13:00,0,666343527
20180216 14:00,0,765845962
20180216 15:00,0,645773861
20180216 16:00,0,536892017
20180216 17:00,0,512717217
20180216 18:00,0,444258296
20180216 19:00,0,435539522
20180216 20:00,0,389315543
20180216 21:00,0,344449551
20180216 22:00,0,319340114
20180216 23:00,0,309949503
20180217 00:00,0,335091238
20180217 01:00,0,204117862
20180217 02:00,0,148771925
20180217 03:00,0,111363317
20180217 04:00,0,107507168
20180217 05:00,0,053201829
20180217 06:00,0,059234728
20180217 07:00,0,080145172
20180217 08:00,0,088341116
20180217 09:00,0,088458286
20180217 10:00,0,12190628
20180217 11:00,0,129505744
20180217 12:00,0,12818302
20180217 13:00,0,105560881
20180217 14:00,0,060012817
20180217 15:00,0,077055683
20180217 16:00,0,079948599
20180217 17:00,0,099728757
20180217 18:00,0,086935136
20180217 19:00,0,11193311
20180217 20:00,0,139299054
20180217 21:00,0,222036222
20180217 22:00,0,226490933
20180217 23:00,0,29264759
20180218 00:00,0,341766129
20180218 01:00,0,323078824
20180218 02:00,0,382101197
20180218 03:00,0,43026419
20180218 04:00,0,529112247
20180218 05:00,0,537709696
20180218 06:00,0,558291765
20180218 07:00,0,583565856
20180218 08:00,0,60148427
20180218 09:00,0,618249074
20180218 10:00,0,594490435
20180218 11:00,0,597492571
20180218 12:00,0,608512021
20180218 13:00,0,575408775
20180218 14:00,0,541293178
20180218 15:00,0,486134606
20180218 16:00,0,429706228
20180218 17:00,0,410598086
20180218 18:00,0,358573173
20180218 19:00,0,312902665
20180218 20:00,0,295038493
20180218 21:00,0,262485473
20180218 22:00,0,215730488
20180218 23:00,0,229843997
20180219 00:00,0,26483847
20180219 01:00,0,143719055
20180219 02:00,0,127017159
20180219 03:00,0,105728107
20180219 04:00,0,138257533
20180219 05:00,0,135331107
20180219 06:00,0,072935415
20180219 07:00,0,086761163
20180219 08:00,0,088273371
20180219 09:00,0,08470988
20180219 10:00,0,059091328
20180219 11:00,0,082537664
20180219 12:00,0,072180283
20180219 13:00,0,092747551
20180219 14:00,0,076132729
20180219 15:00,0,070562723
20180219 16:00,0,02668128
#VALUE!
20180219 18:00,0,027288118
20180219 19:00,0,031657833
20180219 20:00,0,062481231
20180219 21:00,0,043636722
20180219 22:00,0,121031224
20180219 23:00,0,111086787
20180220 00:00,0,123452533
20180220 01:00,0,138703831
20180220 02:00,0,099648045
20180220 03:00,0,123614781
20180220 04:00,0,125256161
20180220 05:00,0,081310698
20180220 06:00,0,070235066
20180220 07:00,0,086210308
20180220 08:00,0,108205084
20180220 09:00,0,084467811
20180220 10:00,0,094916262
20180220 11:00,0,082425698
20180220 12:00,0,103917403
20180220 13:00,0,102882434
20180220 14:00,0,102291507
20180220 15:00,0,060202122
20180220 16:00,0,049448683
20180220 17:00,0,063068531
20180220 18:00,0,087423159
20180220 19:00,0,08940613
20180220 20:00,0,08618296
20180220 21:00,0,08152837
20180220 22:00,0,08642012
20180220 23:00,0,089290217
20180221 00:00,0,069424059
20180221 01:00,0,096767624
20180221 02:00,0,093111095
20180221 03:00,0,076017733
20180221 04:00,0,041768449
20180221 05:00,0,069457827
20180221 06:00,0,063524325
20180221 07:00,0,075010882
20180221 08:00,0,057073684
20180221 09:00,0,050239654
20180221 10:00,0,047080402
20180221 11:00,0,052284851
20180221 12:00,0,062433848
20180221 13:00,0,064130938
20180221 14:00,0,04312425
20180221 15:00,0,030046044
20180221 16:00,0,065277512
20180221 17:00,0,044970729
20180221 18:00,0,061461019
20180221 19:00,0,06478934
20180221 20:00,0,074695286
20180221 21:00,0,101386717
20180221 22:00,0,135306549
20180221 23:00,0,185127935
20180222 00:00,0,194877423
20180222 01:00,0,244040694
20180222 02:00,0,168126402
20180222 03:00,0,144431966
20180222 04:00,0,122440756
20180222 05:00,0,063710004
20180222 06:00,0,057228853
20180222 07:00,0,041176713
20180222 08:00,0,073106355
20180222 09:00,0,083323431
20180222 10:00,0,074721503
20180222 11:00,0,048289547
20180222 12:00,0,0352582
20180222 13:00,0,035847717
20180222 14:00,0,042621658
20180222 15:00,0,041428878
20180222 16:00,0,054824096
20180222 17:00,0,028944381
20180222 18:00,0,079813999
20180222 19:00,0,132677463
20180222 20:00,0,143796485
20180222 21:00,0,141781231
20180222 22:00,0,172161729
20180222 23:00,0,179900994
20180223 00:00,0,170914412
20180223 01:00,0,115569597
20180223 02:00,0,068064689
20180223 03:00,0,047340469
20180223 04:00,0,026886566
20180223 05:00,0,065349425
20180223 06:00,0,064324182
20180223 07:00,0,056219334
20180223 08:00,0,076361513
20180223 09:00,0,073718167
20180223 10:00,0,022047849
20180223 11:00,0,068612689
20180223 12:00,0,046609977
20180223 13:00,0,03698768
#VALUE!
20180223 15:00,0,018374934
20180223 16:00,0,058935411
20180223 17:00,0,083264961
20180223 18:00,0,067730822
20180223 19:00,0,059995543
20180223 20:00,0,013599541
20180223 21:00,0,110227625
20180223 22:00,0,109564074
20180223 23:00,0,11617833
20180224 00:00,0,100965652
20180224 01:00,0,112006538
20180224 02:00,0,133587063
20180224 03:00,0,146637759
20180224 04:00,0,150278519
20180224 05:00,0,200644445
20180224 06:00,0,318355949
20180224 07:00,0,36564665
20180224 08:00,0,325171411
20180224 09:00,0,366600274
20180224 10:00,0,331357627
20180224 11:00,0,295355623
20180224 12:00,0,234353463
20180224 13:00,0,229720935
20180224 14:00,0,202462518
20180224 15:00,0,242760693
20180224 16:00,0,256480244
20180224 17:00,0,290788012
20180224 18:00,0,243482421
20180224 19:00,0,216973601
20180224 20:00,0,2188911
20180224 21:00,0,184105315
20180224 22:00,0,113034745
20180224 23:00,0,126496719
20180225 00:00,0,146259415
20180225 01:00,0,118102925
20180225 02:00,0,115566487
20180225 03:00,0,094759806
20180225 04:00,0,094725418
20180225 05:00,0,094081484
20180225 06:00,0,062709224
20180225 07:00,0,038395302
20180225 08:00,0,10626389
20180225 09:00,0,09858177
20180225 10:00,0,114997558
20180225 11:00,0,123050577
20180225 12:00,0,242346285
20180225 13:00,0,226165533
20180225 14:00,0,315105023
20180225 15:00,0,302241415
20180225 16:00,0,322622382
20180225 17:00,0,419268482
20180225 18:00,0,418246946
20180225 19:00,0,439131634
20180225 20:00,0,36534135
20180225 21:00,0,338109859
20180225 22:00,0,345060753
20180225 23:00,0,357486849
20180226 00:00,0,425188155
20180226 01:00,0,537521221
20180226 02:00,0,525755879
20180226 03:00,0,496438778
20180226 04:00,0,393762299
20180226 05:00,0,334080859
20180226 06:00,0,385994254
20180226 07:00,0,444791553
20180226 08:00,0,369609889
20180226 09:00,0,364209969
20180226 10:00,0,335634106
20180226 11:00,0,355171527
20180226 12:00,0,349098186
20180226 13:00,0,390457617
20180226 14:00,0,342324346
20180226 15:00,0,321619683
20180226 16:00,0,332154858
20180226 17:00,0,266931418
20180226 18:00,0,247344197
20180226 19:00,0,268358368
20180226 20:00,0,289785311
20180226 21:00,0,284164021
20180226 22:00,0,306683259
20180226 23:00,0,315957693
20180227 00:00,0,314647306
20180227 01:00,0,446761654
20180227 02:00,0,440508098
20180227 03:00,0,478571269
20180227 04:00,0,437454493
20180227 05:00,0,516345941
20180227 06:00,0,517107159
20180227 07:00,0,613143814
20180227 08:00,0,641681934
20180227 09:00,0,722015076
20180227 10:00,0,789842436
20180227 11:00,0,709812674
20180227 12:00,0,68323691
20180227 13:00,0,654845189
20180227 14:00,0,673525614
20180227 15:00,0,690970052
20180227 16:00,0,796682549
20180227 17:00,0,826807127
20180227 18:00,0,822417587
20180227 19:00,0,839052356
20180227 20:00,0,757349651
20180227 21:00,0,73775421
20180227 22:00,0,724017806
20180227 23:00,0,721746307
20180228 00:00,0,706176888
20180228 01:00,0,807854396
20180228 02:00,0,747462169
20180228 03:00,0,733229149
20180228 04:00,0,719518181
20180228 05:00,0,696563908
20180228 06:00,0,695540785
20180228 07:00,0,681451817
20180228 08:00,0,670253962
20180228 09:00,0,667808604
20180228 10:00,0,699911872
20180228 11:00,0,628776497
20180228 12:00,0,689690932
20180228 13:00,0,817342437
20180228 14:00,0,81456349
20180228 15:00,0,818283585
20180228 16:00,0,818347667
20180228 17:00,0,675987293
20180228 18:00,0,767750552
20180228 19:00,0,671889714
20180228 20:00,0,724146529
20180228 21:00,0,75006182
20180228 22:00,0,715329194
20180228 23:00,0,704414433
20180301 00:00,0,657437944
